INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.07857460528612137
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.08294280618429184
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.08461084216833115
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.09241972118616104
INFO:tasks.state_based_grasp_xhand:Step 180 | Reward: -0.09456218779087067
INFO:tasks.state_based_grasp_xhand:Step 190 | Reward: -0.09943898767232895
INFO:tasks.state_based_grasp_xhand:Step 200 | Reward: -0.10262563824653625
INFO:tasks.state_based_grasp_xhand:Step 10 | Reward: -0.13616569340229034
INFO:tasks.state_based_grasp_xhand:Step 20 | Reward: -0.1336323767900467
INFO:tasks.state_based_grasp_xhand:Step 30 | Reward: -0.1310921460390091
INFO:tasks.state_based_grasp_xhand:Step 40 | Reward: -0.12555451691150665
INFO:tasks.state_based_grasp_xhand:Step 50 | Reward: -0.11868198215961456
INFO:tasks.state_based_grasp_xhand:Step 60 | Reward: -0.11490882188081741
INFO:tasks.state_based_grasp_xhand:Step 70 | Reward: -0.11462032049894333
INFO:tasks.state_based_grasp_xhand:Step 80 | Reward: -0.11291127651929855
INFO:tasks.state_based_grasp_xhand:Step 90 | Reward: -0.11009875684976578
INFO:tasks.state_based_grasp_xhand:Step 100 | Reward: -0.10828840732574463
INFO:tasks.state_based_grasp_xhand:Step 110 | Reward: -0.10460963100194931
INFO:tasks.state_based_grasp_xhand:Step 120 | Reward: -0.10327581316232681
INFO:tasks.state_based_grasp_xhand:Step 130 | Reward: -0.10277015715837479
INFO:tasks.state_based_grasp_xhand:Step 140 | Reward: -0.10265816003084183
INFO:tasks.state_based_grasp_xhand:Step 150 | Reward: -0.1046600416302681
INFO:tasks.state_based_grasp_xhand:Step 160 | Reward: -0.10234297811985016
INFO:tasks.state_based_grasp_xhand:Step 170 | Reward: -0.10124921053647995
